,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
0,name1,lastname1,NOV,26,1998,BS LM,0918 302 6210,Female,Smart
1,name2,lastname2,MAY,26,2001,BS MGT,0927 212 6276,Female,Globe
2,name3,lastname3,MAY,16,1997,BS CTM,0918 253 7017,Female,Smart
3,name4,lastname4,DEC,9,1997,BS ITE,0918 714 4360,Male,Smart
4,name5,lastname5,SEP,5,1997,BS CTM,0927 462 1674,Female,Globe
5,name6,lastname6,MAR,2,1999,BS MGT,0918 629 5268,Female,Smart
6,name7,lastname7,NOV,10,1998,BS LM,0917 369 7388,Female,Globe
7,name8,lastname8,AUG,28,1999,BS ME,0917 240 6000,Male,Globe
8,name9,lastname9,JUL,10,1997,BS ME,0918 226 5748,Male,Smart
9,name10,lastname10,SEP,14,2001,BS CTM,0918 342 1717,Female,Smart
10,name11,lastname11,DEC,8,1998,BS LM,0927 708 1308,Male,Globe
11,name12,lastname12,MAY,4,1997,BS ME,0927 747 5497,Male,Globe
12,name13,lastname13,JAN,28,1999,BS CTM,0917 959 4490,Female,Globe
13,name14,lastname14,JAN,11,1999,BS MGT,0927 543 4192,Female,Globe
14,name15,lastname15,JUN,6,1998,BS ITE,0917 211 9497,Male,Globe
15,name16,lastname16,APR,20,1999,BS LM,0918 185 5162,Male,Smart
16,name17,lastname17,JAN,3,1997,BS ITE,0927 146 8146,Female,Globe
17,name18,lastname18,APR,8,1997,BS MGT,0927 516 4280,Female,Globe
18,name19,lastname19,DEC,28,1997,BS ITE,0927 958 6909,Male,Globe
19,name20,lastname20,MAR,10,1997,BS ME,0917 514 9105,Male,Globe
20,name21,lastname21,JUL,13,1999,BS LM,0927 984 7499,Female,Globe
21,name22,lastname22,SEP,15,1999,BS ITE,0927 699 3694,Male,Globe
22,name23,lastname23,APR,15,1997,BS MGT,0917 317 2478,Male,Globe
23,name24,lastname24,OCT,1,1997,BS ME,0917 159 3829,Male,Globe
24,name25,lastname25,MAY,6,1997,BS ME,0918 898 6972,Male,Smart
